,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
83602,0.5432129946802633,0.5877269240603427,0.5735952621695796,0.0,0.5515255920787162,0.5310874832178516,0.5211153552330022,0.5347925871571091,0.518355315140096,0.5349972696026469,0.5350888807971135,0.0,0.0,0.5358390555354776,0.5358085609289005,0.5100934324490213
107378,0.0,0.7779255092474219,0.8208066509380969,0.0,0.7631219542477574,0.7577506519961111,0.0,0.7935863608686827,0.6737677019388562,0.7150107609778035,0.8270382998444173,0.7296175356931949,0.7337357478202549,0.7323214070593904,0.8141854005279413,0.8679840414649117
111836,0.8364930780280668,0.9083951248615018,0.8523600879515945,0.8403729340302303,0.8367942390663314,0.8039536426906992,0.0,0.7905106867964591,0.7457910411475112,0.7743567505059266,0.7878777847661292,0.7867266474450273,0.7338416463694448,0.7071092983633641,0.7162747364607236,0.7269658323671827
132640,0.44982556946439567,0.48944004091025317,0.4728361179321745,0.4706094708919967,0.48354905795077135,0.452184379870681,0.48261268143621083,0.5110614978688858,0.4884367592536315,0.5056374674761491,0.5151941474395048,0.5429360475214506,0.5331638956546295,0.5051198650764968,0.49348699987922917,0.4515958535088317
135612,0.6532699805837504,0.7085826301883577,0.0,0.6117467941171855,0.5944997982431636,0.6305458249101094,0.6255462184873949,0.6629716944310002,0.6655169270041937,0.6956891844142494,0.7139097619914595,0.7554799041233891,0.7397543153658794,0.707918150997298,0.6859094908645469,0.6493725704153311
141556,0.6607207690729135,0.7259183499531237,0.6997929606625258,0.7361366169107375,0.693593444454791,0.615484328945541,0.5816195569136745,0.5474231471795913,0.5834498267793108,0.6196877710320902,0.623837267039624,0.636693646437628,0.6098697447844965,0.6009086684908875,0.608512620555201,0.5496828752642705
146014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
156416,0.5892279278283793,0.6229097417540271,0.6037844864942943,0.5865392161479179,0.598271099109166,0.5204857949722999,0.5408556149732621,0.5604596337293719,0.5475445207560931,0.5605184542738749,0.6021218842066933,0.6560252891930386,0.6747855554378904,0.666322474056482,0.6724521661116958,0.6675134692764101
157902,0.7803438096891822,0.8404159209068439,0.8183029194151539,0.7575457927202525,0.7305459850389546,0.6778907732905356,0.6337509549274255,0.607937424864561,0.611028383881359,0.6202499116636151,0.6209573305968421,0.6947233126063848,0.7266581947827314,0.7299464780491163,0.7159986887734856,0.7008797653958944
160874,0.0,0.0,0.0,0.0,0.0,0.6851746115029088,0.6668601986249045,0.6970539101653369,0.6842976964687291,0.7131797886351225,0.7071568075739019,0.7406641886962866,0.7530975325638039,0.7383275681071128,0.7397732958368558,0.7432653617949943
192080,0.8380558493425312,0.0,0.0,0.0,0.0,0.0,0.7530022918258212,0.7844998516806919,0.8535829332036711,0.7715942308310044,0.820798437551723,0.8730329662694968,0.8917716827279467,0.8748859861978764,0.8784700056934835,0.8535599809043171
199510,0.0,0.8369385493906076,0.7656603591891762,0.7322754312442122,0.7403079119719403,0.7470409407262233,0.7427960275019099,0.732026041747982,0.6953747037014527,0.7856477466191256,0.8012843854480453,0.8609615451419044,0.8410639274241942,0.8611871203125269,0.9092665758009696,0.8584702993930301
261922,0.6962540845159355,0.7768004772862865,0.7378464698990482,0.7202209979438402,0.6995219914951734,0.6666409468989676,0.6644308632543927,0.6756178670122246,0.6654713426122896,0.690180206225306,0.6991956039590851,0.7292875256192032,0.7385188322919977,0.7192592975028825,0.7209502941633167,0.7271533792539044
284212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7992816710251911,0.0,0.0,0.0,0.0,0.0
297586,0.0,0.0,0.0,0.0,0.0,0.0,0.6361802902979373,0.617585986167273,0.6457484957150671,0.6881725611127173,0.6706279585553974,0.6796296939590787,0.6917293233082706,0.6566506617102931,0.6930177188109246,0.6736343176703267
300558,0.8697690571279736,0.9128952527060428,0.8560996356749643,0.8197956396854545,0.835537138777664,0.8659279949383497,0.7900076394194041,0.79848870431375,0.821233209748982,0.8576659920979088,0.8400807706312688,0.8526244485357974,0.9183169190582089,0.878327912299723,0.8804886044064112,0.8733717520289164
302044,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9684859903968881,1.0,1.0,1.0,1.0,1.0,1.0,1.0
380802,0.5729530063615843,0.6575129975283389,0.6321761599820245,0.663354836684403,0.664167985845982,0.6745729232573572,0.6651948051948051,0.7138374108132581,0.6767306874126299,0.7080723394686967,0.7243371180773941,0.6986313266404974,0.6830103427583042,0.6389591615468015,0.6273873811700971,0.6042590193002797
