,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
83905,0.7087480225707203,0.7600659256837747,0.725767234014589,0.0,0.6888422851372868,0.6824489901204632,0.6667262216210008,0.6765202593819696,0.6704022542784758,0.6641382106378249,0.6703640200474809,0.0,0.0,0.6532699795420048,0.6563159361439548,0.6626618360061804
107681,1.0,0.8386182848425412,0.8548991259775253,0.8326840695251531,0.8367056325812007,0.838251605747156,0.0,0.8724361536180691,0.7787342950209399,0.8239148346258975,0.883658665259826,0.8261694480445733,0.820994592021579,0.8401636639609318,0.9117666573775495,0.9434439767702063
112139,0.8513222306647898,0.9353138280483819,0.8961950450154433,0.8710316176375427,0.8622470775564098,0.8589393040472565,0.0,0.8160863231445551,0.9220179928648984,0.9271673881485164,0.9282511210762332,0.8770092059377631,0.6780467809967076,0.6760905431267735,0.6727576734742625,0.6678299323352337
132943,0.0,0.0,0.6425050929881054,0.0,0.0,0.5977248690896897,0.6413813346265267,0.6625842798024985,0.654942867483584,0.6584753410146084,0.66834608282775,0.6688000213780848,0.6521440188287561,0.6526496403352472,0.646164258131295,0.6381799776226758
135915,0.7645644673085786,0.8271357742181541,0.0,0.7764893162669704,0.7783085427265783,0.8157453504269094,0.8105514363378808,0.8186775644909693,0.8272064526136187,0.8173626459856401,0.8169612239514641,0.8229493740229546,0.8003279165399515,0.794271761367386,0.7812678317873589,0.7664100378283341
141859,0.7190244267012119,0.8243434673640624,0.7851481895248735,0.7810578901730364,0.7938560720804692,0.7857069156757035,0.7380135019589327,0.7594270907192306,0.8188821674163693,0.8123144527418491,0.8219862833025587,0.8265034806194299,0.7628687408269315,0.7706196792714314,0.8143768992927001,0.827361606905003
146317,0.0,0.0,0.0,0.0,0.0,0.49242912786648435,0.467846705547544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
156719,0.68116989075871,0.7398932112890924,0.7191693500690018,0.7144447176673095,0.697619325022331,0.6726339412386824,0.685052131854669,0.7093297580218901,0.7175947469107078,0.7213292703660594,0.7391981007649697,0.7907753564127573,0.7804281426436949,0.7723619085329638,0.7944451079528112,0.8055570355373223
158205,0.8376950959753865,0.9081807780320366,0.8963659065518829,0.8327746644751318,0.831773402203322,0.7896277762014083,0.7655278908612922,0.7489460996016449,0.7579494338451993,0.7664752887017251,0.7750197836982328,0.8289886829763637,0.8477039230982822,0.8530983963571569,0.8370025346019613,0.8307714848953062
161177,0.0,0.0,0.0,0.0,0.0,0.0,0.7754693143097794,0.7900449922004924,0.7996484152835943,0.8028065861920145,0.802651015563176,0.7996739842069398,0.7980139893427124,0.7942585626608593,0.7870934352482185,0.8109648889125687
192383,0.8622837284039809,0.0,0.8771374121048827,0.0,0.0,0.0,0.7942036013731671,0.8361974500122471,0.8866139289592058,0.7808090187410905,0.8150356106568188,0.8233769357187712,0.8212590408441206,0.8263974130535208,0.8248736016561169,0.8069156587990837
199813,0.0,0.818295739348371,0.7602418347900376,0.7375334877761529,0.7565860162854221,0.7660252276420667,0.7701987008512104,0.7503255166368007,0.7366216845044206,0.8113335861789363,0.8466103930361383,0.8349879080207901,0.8352880508799534,0.8517917244110077,0.8859694520747906,0.8640044754648624
262225,0.740112853601724,0.8042797210417347,0.7849773279884341,0.7717783788680809,0.7703211775214571,0.7631619676529006,0.7521790732398321,0.7613221776740708,0.7700997880150975,0.7765847534101462,0.7742548140332367,0.7872880563312534,0.7716748866175672,0.7659737345740117,0.7696697055349868,0.7810485374820183
284515,0.0,0.8139642584722677,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.8388156159324717,0.0,0.0,0.0,0.0,0.0
297889,0.0,0.0,0.750923309456529,0.7402513362755122,0.7808588035781325,0.7583769701034384,0.7398384359167423,0.71305547319161,0.7356651672612584,0.749538992715431,0.7565154312846215,0.7536977406036636,0.7512462150762274,0.7380188741503332,0.7653436309831867,0.7875619372369334
300861,0.8897995789788368,0.9337065489811487,0.8707761056712887,0.8623474445753039,0.8644607557575051,0.8705858075167023,0.8364961268010056,0.8240018564117109,0.8780828292228944,0.8547402011430365,0.8392904246900554,0.8507809681600149,0.8817384865593886,0.8739787500824919,0.0,0.0
302347,0.9383540314644808,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9987203350395533,1.0,1.0,1.0,1.0,1.0,1.0,1.0
381105,0.7244553505810839,0.7924022011550615,0.8130117631596241,0.864055806489187,0.811138296632879,0.8203110893285526,0.8137418803200654,0.8602534517655248,0.8502662737190424,0.856636543164668,0.8725138485887629,0.8695135149579787,0.8573034153565431,0.8471325810070612,0.8435579972663455,0.8473147210826363
